,model,thr,val_PR_AUC,val_ROC_AUC,val_F1,val_Recall,val_Brier,test_PR_AUC,test_ROC_AUC,test_F1,test_Recall,test_Brier
1,xgb,0.35,0.1126558225629433,0.8109375,0.0,0.0,0.06915746862131514,0.18483145767418266,0.6561679790026247,0.2,0.16666666666666666,0.04911817622925974
2,logistic_regression,0.35,0.08610743610743611,0.7203125,0.14285714285714285,0.8,0.17996010622070185,0.1643748110229899,0.6811023622047244,0.09090909090909091,0.3333333333333333,0.14434274812838466
3,rf,0.35,0.13040336083814344,0.85,0.14814814814814814,0.4,0.07299897434246941,0.09925530617703515,0.6115485564304461,0.14285714285714285,0.16666666666666666,0.062396500581965476
4,mlp,0.35,0.060135972420003174,0.640625,0.0,0.0,0.07266941826294819,0.05064796972226218,0.5118110236220472,0.0,0.0,0.06251096411714337
