depth,mcw,lr,n_estimators,subsample,colsample,lambda,alpha,booster,rate_drop,skip_drop,spw_mode,cv_ap_agg,cv_ap_mean,cv_ap_std,mean_rounds
3,3.0,0.01,1500,0.9435201327689684,0.9015154856636455,5.0,0.1,gbtree,0.0,0.0,sqrt,0.15491362057036923,0.2701615095848317,0.11524788901446249,1500
4,3.0,0.01,800,0.8439816157547096,0.8492996818054874,3.0,0.0,gbtree,0.0,0.0,sqrt,0.14657578569501584,0.26936871122802997,0.12279292553301412,800
4,1.0,0.03,2000,0.918442721419183,0.8136809154573036,2.0,0.05,gbtree,0.0,0.0,sqrt,0.13518258340828113,0.2332817184503932,0.09809913504211207,2000
3,2.0,0.03,1200,0.8662295752060065,0.9331556274137449,3.0,0.1,gbtree,0.0,0.0,sqrt,0.14131371594274628,0.23879747080662034,0.09748375486387405,1200
4,3.0,0.01,1200,0.925544581135606,0.9300303057966262,10.0,0.3,gbtree,0.0,0.0,sqrt,0.14789005138927813,0.270051883754018,0.12216183236473988,1200
4,1.0,0.02,1500,0.9059363340734744,0.812202317096285,10.0,0.05,gbtree,0.0,0.0,sqrt,0.14279131431759856,0.2538829152094274,0.11109160089182886,1500
3,1.0,0.01,1200,0.9219199350886254,0.9420872866075788,1.0,0.0,gbtree,0.0,0.0,sqrt,0.12768205998850787,0.2470345900771919,0.11935253008868402,1200
4,2.0,0.03,1500,0.9165720373891155,0.8837606374603708,3.0,0.05,gbtree,0.0,0.0,sqrt,0.1460440489916969,0.24716213899205827,0.10111809000036137,1500
4,3.0,0.03,1200,0.8738937656436289,0.8017030467151129,5.0,0.05,gbtree,0.0,0.0,sqrt,0.14058554374759502,0.2451856349234031,0.10460009117580805,1200
4,1.0,0.03,800,0.9116317485414946,0.9021559140645363,5.0,0.05,gbtree,0.0,0.0,sqrt,0.13852924967399055,0.2532486595910499,0.11471940991705938,800
3,3.0,0.01,800,0.9302898692284189,0.8335393757779179,2.0,0.3,gbtree,0.0,0.0,sqrt,0.15062196644948578,0.2840033952335193,0.13338142878403353,800
3,1.0,0.01,1500,0.9336714670547106,0.879155166362945,3.0,0.3,gbtree,0.0,0.0,sqrt,0.14142616649601977,0.25489078088637934,0.11346461439035957,1500
3,3.0,0.03,2000,0.8113151820634654,0.824932314786388,1.0,0.05,gbtree,0.0,0.0,sqrt,0.1315450209893076,0.2401152273158616,0.108570206326554,2000
3,3.0,0.01,800,0.9045387583795722,0.857630274706883,1.0,0.1,gbtree,0.0,0.0,sqrt,0.14792645391453005,0.27427833097094734,0.1263518770564173,800
4,2.0,0.02,2000,0.8160134098903827,0.8503490097195445,2.0,0.3,gbtree,0.0,0.0,sqrt,0.13646204838875542,0.24315345200166394,0.1066914036129085,2000
4,2.0,0.02,2000,0.8875484167776309,0.8116601955447478,1.0,0.3,gbtree,0.0,0.0,sqrt,0.14085172427823234,0.24464783296485182,0.10379610868661947,2000
4,3.0,0.02,1500,0.8804144549516181,0.8464291424429492,5.0,0.0,gbtree,0.0,0.0,sqrt,0.14765472741773022,0.25028014894344924,0.10262542152571902,1500
4,1.0,0.01,1200,0.8114300569398745,0.9410797740703074,3.0,0.3,gbtree,0.0,0.0,sqrt,0.14035108480962685,0.27132177278850583,0.13097068797887898,1200
3,3.0,0.01,1200,0.812412263005296,0.9314992228888689,3.0,0.0,gbtree,0.0,0.0,sqrt,0.15559910457353895,0.2708335401334087,0.11523443555986976,1200
3,3.0,0.01,1200,0.9215829996172749,0.9480914193972416,1.0,0.1,gbtree,0.0,0.0,sqrt,0.14278455648905441,0.25296130255205684,0.11017674606300243,1200
3,2.0,0.03,800,0.9454871596721904,0.9263178384703563,10.0,0.0,gbtree,0.0,0.0,sqrt,0.15405976303903587,0.27157538991470553,0.11751562687566966,800
4,1.0,0.03,1500,0.841011060789606,0.8084563244976392,5.0,0.0,gbtree,0.0,0.0,sqrt,0.13539893768812922,0.2402020909927539,0.10480315330462468,1500
3,3.0,0.01,1200,0.9369748628386464,0.8877724298488208,10.0,0.0,gbtree,0.0,0.0,sqrt,0.15170250705772875,0.2790508388294035,0.12734833177167476,1200
4,2.0,0.03,800,0.8361627248494448,0.8307567992759788,1.0,0.1,gbtree,0.0,0.0,sqrt,0.1406821971669419,0.2432187379946818,0.1025365408277399,800
3,1.0,0.02,800,0.9007551026608784,0.8927192360686844,5.0,0.1,gbtree,0.0,0.0,sqrt,0.14254632995821187,0.2502011100452579,0.10765478008704606,800
4,3.0,0.02,1200,0.8780461551355689,0.9158477587603459,3.0,0.05,gbtree,0.0,0.0,sqrt,0.1420838409068177,0.2462462054445142,0.10416236453769652,1200
4,1.0,0.02,2000,0.884140695730308,0.9314980403987517,1.0,0.0,gbtree,0.0,0.0,sqrt,0.1277131968545656,0.2355011690403428,0.10778797218577717,2000
4,3.0,0.03,1500,0.9132705883510428,0.8930464327030196,2.0,0.1,gbtree,0.0,0.0,sqrt,0.14053686684995914,0.24608181412931832,0.10554494727935916,1500
3,3.0,0.02,2000,0.8021816998501823,0.8525881338209895,2.0,0.05,gbtree,0.0,0.0,sqrt,0.13458722968814435,0.23903080022425274,0.1044435705361084,2000
4,3.0,0.03,1500,0.9356238041740622,0.8522383200534951,1.0,0.3,gbtree,0.0,0.0,sqrt,0.1377860978750787,0.2421608603941623,0.10437476251908359,1500
3,2.0,0.03,1200,0.9293545563120118,0.9424280935486463,5.0,0.05,gbtree,0.0,0.0,sqrt,0.13910308554669704,0.2414631855919191,0.10236010004522204,1200
4,1.0,0.02,800,0.8387366582448438,0.8688703634357392,2.0,0.05,gbtree,0.0,0.0,sqrt,0.1308201969210392,0.24327372602972866,0.11245352910868948,800
3,2.0,0.01,1200,0.8950101281475089,0.836021842816729,3.0,0.1,gbtree,0.0,0.0,sqrt,0.15210145024661698,0.26731431215526236,0.11521286190864538,1200
3,3.0,0.03,2000,0.8227854040268442,0.8208240758974116,5.0,0.3,gbtree,0.0,0.0,sqrt,0.13996122844834602,0.24648326920628422,0.1065220407579382,2000
4,1.0,0.03,2000,0.8710942460394309,0.900133660778154,2.0,0.0,gbtree,0.0,0.0,sqrt,0.13268233341240482,0.23561320737189304,0.10293087395948823,2000
4,3.0,0.03,800,0.8253402594608247,0.8417885508547938,10.0,0.05,gbtree,0.0,0.0,sqrt,0.14791398300582465,0.2594334374982302,0.11151945449240559,800
3,2.0,0.01,800,0.8691168152049089,0.8309500577608689,2.0,0.0,gbtree,0.0,0.0,sqrt,0.15248205437525067,0.27858761177670704,0.12610555740145638,800
4,2.0,0.01,1500,0.8058968209761649,0.9199115598363563,1.0,0.05,gbtree,0.0,0.0,sqrt,0.1402334341357819,0.24808404671994944,0.10785061258416753,1500
3,2.0,0.03,1500,0.8565928947863108,0.800389253657547,5.0,0.0,gbtree,0.0,0.0,sqrt,0.14245437426095997,0.2379604023663553,0.09550602810539531,1500
4,1.0,0.03,800,0.9479385493800222,0.8804885968980999,2.0,0.3,gbtree,0.0,0.0,sqrt,0.13646975783228696,0.24296207682261353,0.10649231899032657,800
3,2.0,0.02,800,0.8093512043766863,0.822160863785934,3.0,0.1,gbtree,0.0,0.0,sqrt,0.14619193145025614,0.2606700553933069,0.11447812394305076,800
3,3.0,0.03,1200,0.9124424348012881,0.8045708229100391,2.0,0.05,gbtree,0.0,0.0,sqrt,0.13959857545876922,0.23967026588775722,0.100071690428988,1200
4,3.0,0.03,1500,0.8157303749798722,0.9106107809140729,5.0,0.05,gbtree,0.0,0.0,sqrt,0.14335130760364462,0.24745895478042088,0.10410764717677624,1500
3,1.0,0.01,1500,0.8133806493068084,0.8803003346023285,1.0,0.0,gbtree,0.0,0.0,sqrt,0.13535841393452044,0.24710295147145928,0.11174453753693883,1500
3,1.0,0.02,1500,0.8973234260437364,0.8719373152631376,5.0,0.1,gbtree,0.0,0.0,sqrt,0.13919150667778124,0.244682292868499,0.10549078619071775,1500
4,2.0,0.03,2000,0.8879803151991139,0.8846687813783962,2.0,0.0,gbtree,0.0,0.0,sqrt,0.1380884097933075,0.24464245604122165,0.10655404624791413,2000
3,2.0,0.02,2000,0.8856167457003368,0.853414508884677,10.0,0.05,gbtree,0.0,0.0,sqrt,0.14553382391373804,0.2537277728168698,0.10819394890313176,2000
3,1.0,0.01,800,0.8152673708930606,0.8229288708776499,5.0,0.05,gbtree,0.0,0.0,sqrt,0.14443602970023184,0.28407847608756615,0.1396424463873343,800
3,2.0,0.02,1200,0.8260060392942132,0.9345148136939637,3.0,0.1,gbtree,0.0,0.0,sqrt,0.1439775218236745,0.2519028419175978,0.10792532009392333,1200
